,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,356.47,356.888,358.975,360.208,361.218,362.059,362.742,363.282,363.673,363.956,364.146,364.279,364.363,364.414,364.432,364.407,364.321,364.151,363.868,363.482,363.01,362.487,361.946,361.411,360.893,360.399,359.929,359.485,359.069,358.68,358.319,357.994,357.696,357.421,357.167,356.925,356.687,356.446,356.194,355.917,355.605,355.243,354.809,354.307,353.737,353.136,352.541,351.985,351.48,351.028,350.63,350.27,349.937,349.619,349.298,348.955,348.575,348.132,347.629,347.065,346.472,345.874,345.295,344.75,344.244,343.773,343.33,342.903,342.474,342.018,341.504,340.89,340.132,339.137,337.754,334.801,334.154,,,,,,,,,,,,,,,,,,,
1,1424.05,1424.68,1425.57,1426.51,1427.45,1428.4,1429.34,1430.28,1431.25,1432.26,1433.34,1434.48,1435.7,1437.02,1438.41,1439.81,1441.18,1442.51,1443.78,1445,1446.16,1447.27,1448.31,1449.31,1450.25,1451.13,1451.97,1452.77,1453.53,1454.25,1454.95,1455.63,1456.31,1457.03,1457.82,1458.68,1459.61,1460.57,1461.55,1462.52,1463.46,1464.34,1464.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,846.796,849.801,850.936,850.848,850.397,849.704,848.865,847.943,847.064,846.384,845.891,845.528,845.192,844.817,844.297,843.579,842.64,841.641,840.718,839.915,839.233,838.659,838.183,837.756,837.321,836.828,836.284,835.715,835.147,834.605,834.098,833.623,833.142,832.583,831.88,830.956,829.748,824.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1921.55,1923.07,1922.79,1922.35,1921.88,1921.43,1921.04,1920.69,1920.35,1920,1919.58,1919.03,1918.31,1917.44,1916.48,1915.52,1914.63,1913.84,1913.17,1912.59,1912.07,1911.57,1911.08,1910.59,1910.1,1909.56,1908.96,1908.27,1907.53,1906.79,1906.08,1905.4,1904.73,1904.03,1903.25,1902.36,1901.4,1900.45,1899.54,1898.72,1898.03,1897.49,1896.98,1895.95,1894.2,1892.09,1889.96,1887.99,1886.33,1885.07,1884.1,1883.26,1882.53,1881.9,1881.38,1881.04,1881.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,817.474,819.622,820.579,821.518,822.652,824.037,825.25,825.777,825.678,825.207,824.57,823.869,823.087,822.169,821.183,820.266,819.506,818.91,818.453,818.112,817.796,817.399,816.838,816.06,815.172,814.283,813.492,812.834,812.308,811.904,811.606,811.395,811.258,811.155,811.051,810.916,810.714,810.429,810.052,809.58,808.959,807.989,805.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,959.779,961.097,962.138,962.989,964.023,965.445,966.915,967.714,967.952,967.964,967.924,967.925,968.012,968.211,968.52,968.842,968.91,968.508,967.739,966.928,966.329,965.988,965.835,965.802,965.838,965.915,966.015,966.11,966.173,966.158,965.952,965.478,964.727,963.916,963.159,962.38,961.424,960.218,958.911,957.615,956.322,954.964,953.399,951.581,949.753,948.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,944.511,946.782,948.651,949.318,950.014,950.825,951.824,953.17,955,956.796,957.724,958.138,958.369,958.536,958.681,958.814,958.924,959.003,959.05,959.07,959.067,959.05,959.025,959.001,958.991,959.014,959.089,959.234,959.451,959.731,960.031,960.314,960.551,960.716,960.819,960.881,960.927,960.973,961.025,961.078,961.12,961.122,961.042,960.763,960.187,959.152,957.93,956.918,956.005,954.873,952.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1962.29,1965.97,1965.51,1964.96,1964.41,1963.89,1963.41,1962.94,1962.49,1962.05,1961.62,1961.2,1960.79,1960.39,1960.02,1959.68,1959.39,1959.13,1958.89,1958.62,1958.26,1957.83,1957.33,1956.79,1956.24,1955.68,1955.12,1954.55,1953.96,1953.37,1952.8,1952.25,1951.74,1951.24,1950.72,1950.11,1949.28,1947.99,1945.94,1943.52,1941.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,699.835,700.167,701.855,702.877,703.72,704.6,705.761,707.319,708.471,708.961,709.122,709.124,709.007,708.676,707.966,707.078,706.441,706.041,705.79,705.587,705.34,704.981,704.484,703.945,703.485,703.171,703,702.923,702.886,702.876,702.87,702.868,702.867,702.865,702.859,702.847,702.81,702.699,702.401,701.72,700.477,698.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1046.85,1047.87,1049.22,1050.31,1051.45,1052.64,1053.66,1054.37,1054.81,1055.03,1055.08,1055,1054.8,1054.55,1054.26,1053.99,1053.75,1053.54,1053.34,1053.12,1052.81,1052.39,1051.85,1051.24,1050.66,1050.16,1049.77,1049.49,1049.28,1049.1,1048.95,1048.77,1048.54,1048.26,1047.92,1047.54,1047.15,1046.76,1046.37,1045.96,1045.51,1044.99,1044.39,1043.7,1042.95,1042.17,1041.34,1040.46,1039.48,1038.39,1037.13,1035.57,1032.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1943.62,1944.77,1949.18,1950.14,1950.64,1950.83,1950.77,1950.63,1950.49,1950.35,1950.21,1950.03,1949.76,1949.36,1948.86,1948.43,1948.17,1948.02,1947.95,1947.91,1947.88,1947.81,1947.63,1947.26,1946.75,1946.32,1946.08,1946.01,1946.02,1946.07,1946.08,1945.97,1945.55,1944.52,1942.86,1941.69,1941.04,1940.6,1940.18,1939.61,1938.58,1935.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,684.283,685.7,687.313,688.503,689.514,690.426,691.335,692.407,693.724,695.11,696.133,696.611,696.763,696.844,696.933,697.027,697.094,697.106,697.069,697.006,696.946,696.906,696.897,696.922,696.975,697.042,697.099,697.122,697.097,697.029,696.939,696.861,696.826,696.855,696.962,697.156,697.424,697.696,697.666,696.699,695.216,694.272,693.73,693.284,692.592,690.335,690.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1029.98,1031.05,1032.64,1033.84,1034.81,1035.69,1036.62,1037.57,1038.42,1038.99,1039.2,1039.12,1038.88,1038.59,1038.31,1038.08,1037.9,1037.73,1037.55,1037.32,1037.07,1036.82,1036.6,1036.42,1036.28,1036.18,1036.13,1036.09,1036.05,1035.95,1035.72,1035.34,1034.9,1034.49,1034.17,1033.97,1033.86,1033.84,1033.88,1033.94,1033.98,1033.96,1033.84,1033.58,1033.19,1032.69,1032.12,1031.53,1030.99,1030.55,1030.17,1029.74,1029.13,1028.19,1025.99,1025.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2100.56,2104.57,2105.99,2107.24,2108.17,2108.82,2109.35,2109.97,2110.83,2111.94,2112.98,2113.53,2113.78,2113.94,2114.15,2114.53,2115.14,2115.89,2116.56,2117,2117.29,2117.49,2117.62,2117.74,2117.84,2117.95,2118.04,2118.11,2118.14,2118.12,2118.04,2117.83,2112.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1083.48,1083.49,1085.07,1086.22,1087.4,1088.68,1090.06,1091.24,1091.66,1091.45,1090.98,1090.47,1089.99,1089.55,1089.16,1088.82,1088.49,1088.14,1087.74,1087.26,1086.71,1086.11,1085.49,1084.86,1084.25,1083.66,1083.1,1082.58,1082.11,1081.66,1081.25,1080.85,1080.46,1080.05,1079.63,1079.18,1078.69,1078.15,1077.56,1076.93,1076.26,1075.56,1074.84,1074.09,1073.33,1072.55,1071.76,1070.96,1070.19,1069.46,1068.81,1068.25,1067.79,1067.42,1067.12,1066.87,1066.65,1066.44,1066.22,1065.97,1065.66,1065.26,1064.73,1063.99,1062.74,1059.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2104.82,2106.11,2107.65,2109.15,2110.4,2111.43,2112.53,2114.37,2116.99,2117.9,2117.96,2117.93,2118.33,2118.87,2119.15,2119.08,2118.66,2118.25,2118.08,2118.01,2117.93,2117.73,2117.33,2116.75,2115.95,2114.8,2113.42,2112.43,2111.66,2110.73,2107.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
