,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
12,558.73,558.965,559.608,560.335,561.146,562.037,563,564.048,565.2,566.448,567.749,569.049,570.313,571.53,572.707,573.854,574.978,576.078,577.14,578.153,579.111,580.023,580.901,581.765,582.638,583.54,584.489,585.492,586.546,587.633,588.717,589.764,590.759,591.71,592.628,593.526,594.419,595.318,596.237,597.181,598.145,599.114,600.066,600.975,601.828,602.628,603.397,604.169,604.976,605.835,606.748,607.709,608.708,609.738,610.836,610.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,728.106,725.994,726.292,726.691,727.282,728.056,728.929,729.786,730.555,731.252,732.077,733.186,734.414,735.62,736.744,737.76,738.67,739.53,740.43,741.4,742.391,743.369,744.315,745.234,746.141,747.056,747.992,748.955,749.949,750.98,752.058,753.211,756.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,740.133,740.137,740.988,741.871,742.778,743.747,744.842,746.124,747.544,748.976,750.349,751.65,752.889,754.082,755.243,756.388,757.521,758.637,759.723,760.762,761.746,762.674,763.55,764.378,765.171,765.94,766.701,767.467,768.252,769.07,769.924,770.818,771.753,772.725,773.728,774.751,775.785,776.813,777.825,778.811,779.766,780.691,781.587,782.452,783.285,784.078,784.834,785.549,786.23,786.888,787.528,788.146,788.734,789.271,789.75,790.171,790.555,790.93,791.33,791.788,792.329,792.969,793.712,794.541,795.423,795.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,764.176,764.009,763.997,763.988,764.172,764.575,765.019,765.137,765.141,766.492,768.29,770.003,771.505,772.953,774.431,775.899,777.3,778.609,779.861,781.082,782.28,783.45,784.579,785.656,786.659,787.531,788.28,789.082,789.913,790.68,790.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,801.179,804.522,806.147,807.244,808.154,808.976,809.762,810.537,811.321,812.126,812.943,813.746,814.507,815.223,815.892,816.529,817.152,817.779,818.429,819.107,819.818,820.563,821.341,822.146,822.966,823.78,824.574,825.347,826.118,826.915,827.766,828.697,829.715,830.804,831.904,832.953,833.881,834.549,834.702,834.179,833.456,832.855,832.331,831.713,830.329,829.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,815.077,815.113,816.574,817.761,818.905,820.047,821.197,822.363,823.536,824.693,825.815,826.882,827.881,828.811,829.685,830.521,831.337,832.148,832.967,833.804,834.665,835.553,836.465,837.392,838.32,839.239,840.131,840.989,841.805,842.573,843.29,843.958,844.583,845.183,845.779,846.394,847.044,847.74,848.485,849.281,850.122,851.005,851.926,852.879,853.862,854.871,855.902,856.954,858.024,859.109,860.205,861.309,862.411,863.5,864.561,865.58,866.54,867.434,868.257,869.018,869.728,870.399,871.044,871.676,872.31,872.959,873.637,874.355,875.12,875.931,876.768,877.564,877.594,,,,,,,,,,,,,,,,,,,,,,,
18,838.319,839.65,841.597,842.942,844.044,845.016,845.92,846.788,847.637,848.478,849.315,850.152,850.979,851.789,852.58,853.359,854.147,854.968,855.841,856.788,857.8,858.859,859.918,860.932,861.86,862.706,863.505,864.291,865.066,865.813,866.497,867.094,867.595,868.022,868.416,868.839,869.354,870.006,870.808,871.729,872.724,873.796,873.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,999.56,1002.36,1004.32,1005.46,1006.36,1007.19,1007.98,1008.76,1009.54,1010.29,1011.01,1011.72,1012.43,1013.14,1013.87,1014.61,1015.37,1016.13,1016.91,1017.7,1018.51,1019.32,1020.1,1020.86,1021.6,1022.38,1023.21,1024.09,1024.97,1025.77,1026.38,1026.83,1027.1,1027.12,1026.85,1025.95,1023.64,1023.04,1022.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1024.59,1025.1,1025.81,1026.53,1027.28,1028.19,1029.51,1031.16,1032.79,1034.26,1035.53,1036.68,1037.75,1038.75,1039.66,1040.46,1041.2,1041.92,1042.65,1043.42,1044.22,1045.05,1045.87,1046.66,1047.41,1048.1,1048.77,1049.43,1050.09,1050.77,1051.46,1052.16,1052.86,1053.57,1054.27,1054.95,1055.62,1056.28,1056.93,1057.55,1058.13,1058.61,1058.86,1056.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1047.96,1044.05,1043.96,1043.94,1043.93,1043.89,1043.75,1043.42,1042.76,1041.71,1040.57,1040.12,1040.01,1039.96,1039.97,1040.11,1040.46,1041.05,1041.86,1042.83,1043.86,1044.86,1045.78,1046.6,1047.35,1048.11,1048.92,1049.79,1050.71,1051.71,1052.72,1053.72,1054.66,1055.57,1060.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1054.19,1054.34,1055.31,1056.27,1057.23,1058.22,1059.26,1060.33,1061.42,1062.51,1063.59,1064.68,1065.81,1067.04,1068.43,1069.93,1071.2,1072.17,1073.09,1073.97,1074.75,1075.36,1075.83,1076.24,1076.64,1077.08,1077.57,1078.12,1078.76,1079.56,1080.48,1081.39,1082.31,1083.27,1084.27,1085.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1136.03,1137.29,1138.51,1139.58,1140.51,1141.31,1141.99,1142.57,1143.09,1143.59,1144.13,1144.74,1145.42,1146.2,1147.06,1148,1149.03,1150.11,1151.23,1152.35,1153.46,1154.54,1155.61,1156.67,1157.71,1158.74,1159.75,1160.74,1161.69,1162.62,1163.52,1164.39,1165.25,1166.12,1166.99,1167.88,1168.8,1169.74,1170.69,1171.66,1172.64,1173.63,1174.64,1175.68,1176.79,1177.99,1179.3,1180.68,1182.03,1183.25,1184.34,1185.33,1186.24,1186.98,1186.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1176.89,1177.48,1178.38,1179.31,1180.29,1181.33,1182.44,1183.63,1184.85,1186.04,1187.2,1188.32,1189.4,1190.43,1191.42,1192.38,1193.31,1194.23,1195.14,1196.06,1197,1197.98,1198.99,1200.06,1201.19,1202.4,1203.68,1205.05,1206.47,1207.9,1209.3,1210.63,1211.82,1212.77,1213.42,1213.86,1214.24,1214.58,1214.86,1214.91,1213.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1219.4,1218.03,1218.2,1218.65,1219.18,1219.79,1220.48,1221.27,1222.15,1223.07,1224.01,1224.98,1225.97,1227.01,1228.09,1229.18,1230.25,1231.29,1232.28,1233.22,1234.16,1235.1,1236.08,1237.08,1238.09,1239.11,1240.12,1241.13,1242.15,1243.2,1244.31,1245.52,1246.86,1248.28,1249.74,1251.15,1252.43,1253.55,1254.57,1255.5,1256.35,1256.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1244.3,1244.81,1245.72,1246.65,1247.58,1248.53,1249.52,1250.56,1251.65,1252.8,1253.98,1255.2,1256.42,1257.66,1258.9,1260.12,1261.33,1262.52,1263.68,1264.81,1265.89,1266.95,1267.98,1268.99,1269.98,1270.95,1271.91,1272.84,1273.76,1274.67,1275.56,1276.44,1277.31,1278.18,1279.05,1279.93,1280.81,1281.71,1282.62,1283.54,1284.47,1285.43,1286.39,1287.36,1288.34,1289.33,1290.33,1291.32,1292.32,1293.31,1294.31,1295.29,1296.28,1297.26,1298.25,1299.24,1300.23,1301.23,1302.24,1303.24,1304.23,1305.2,1306.13,1307.03,1307.88,1308.68,1309.45,1310.19,1310.94,1311.72,1312.54,1313.42,1314.35,1315.33,1316.29,,,,,,,,,,,,,,,,,,,,,
27,1249.1,1249.74,1250.53,1251.36,1252.27,1253.29,1254.49,1255.86,1257.31,1258.72,1260.01,1261.2,1262.31,1263.36,1264.37,1265.37,1266.36,1267.36,1268.37,1269.39,1270.41,1271.42,1272.44,1273.46,1274.48,1275.52,1276.55,1277.58,1278.58,1279.55,1280.48,1281.4,1282.3,1283.19,1284.08,1284.99,1285.9,1286.83,1287.76,1288.68,1289.59,1290.48,1291.32,1292.12,1292.85,1293.51,1294.11,1294.66,1295.2,1295.75,1296.37,1297.07,1297.88,1298.77,1299.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
